Country,gpi_ranking_2010,gpi_score_2010,gpi_ranking_2018,gpi_score_2018
Afghanistan,157,3.163,162,3.576
Albania,59,1.912,53,1.843
Algeria,130,2.37,109,2.188
Angola,80,2.02,80,2.031
Argentina,72,2,67,1.955
Armenia,129,2.368,121,2.302
Australia,8,1.393,12,1.398
Austria,5,1.383,3,1.273
Azerbaijan,131,2.382,133,2.447
Bahrain,53,1.871,129,2.404
Bangladesh,98,2.156,92,2.078
Belarus,107,2.204,101,2.112
Belgium,18,1.517,21,1.538
Benin,111,2.213,72,1.975
Bhutan,66,1.95,17,1.521
Bolivia,91,2.115,81,2.033
Bosnia-Herzegovina,64,1.943,90,2.063
Botswana,29,1.691,31,1.682
Brazil,81,2.022,106,2.159
Bulgaria,32,1.709,26,1.632
Burkina Faso,41,1.791,78,2.023
Burundi,140,2.502,136,2.502
Cambodia,109,2.206,97,2.101
Cameroon,106,2.183,134,2.473
Canada,17,1.5,6,1.338
Central African Republic,148,2.765,156,3.276
Chad,154,3.028,135,2.496
Chile,37,1.755,28,1.646
China,117,2.247,112,2.247
Colombia,150,2.908,145,2.729
Congo (Democratic Republic),153,3.023,155,3.249
Congo (Republic),103,2.17,122,2.326
Costa Rica,27,1.654,38,1.766
Cote d'Ivoire,121,2.299,111,2.213
Croatia,39,1.773,27,1.639
Cuba,85,2.062,84,2.046
Cyprus,68,1.958,61,1.907
Czech Republic,13,1.464,7,1.379
Denmark,4,1.334,4,1.313
Djibouti,84,2.061,113,2.265
Dominican Republic,95,2.123,91,2.073
Ecuador,112,2.216,68,1.962
Egypt,63,1.939,143,2.657
El Salvador,104,2.173,115,2.272
Equatorial Guinea,62,1.933,65,1.934
Eritrea,132,2.409,139,2.529
Estonia,42,1.798,33,1.732
Eswatini,77,2.016,82,2.04
Ethiopia,142,2.581,131,2.426
Finland,10,1.41,14,1.505
France,52,1.866,58,1.887
Gabon,87,2.079,95,2.096
Georgia,155,3.107,102,2.118
Germany,24,1.633,18,1.527
Ghana,43,1.803,39,1.772
Greece,70,1.985,79,2.028
Guatemala,105,2.181,110,2.21
Guinea,120,2.296,100,2.106
Guinea-Bissau,136,2.453,118,2.28
Guyana,102,2.169,83,2.041
Haiti,107,2.204,87,2.054
Honduras,134,2.421,116,2.276
Hungary,19,1.544,22,1.542
Iceland,1,1.143,1,1.096
India,144,2.683,137,2.517
Indonesia,50,1.852,55,1.854
Iran,127,2.36,130,2.419
Iraq,161,3.6,160,3.436
Ireland,11,1.439,11,1.394
Israel,151,2.922,146,2.756
Italy,56,1.882,39,1.772
Jamaica,83,2.059,93,2.079
Japan,3,1.328,8,1.381
Jordan,65,1.948,97,2.101
Kazakhstan,95,2.123,69,1.963
Kenya,141,2.545,120,2.3
Kosovo,91,2.115,94,2.08
Kuwait,21,1.608,50,1.831
Kyrgyzstan,123,2.331,108,2.178
Laos,47,1.825,47,1.818
Latvia,36,1.742,30,1.679
Lebanon,147,2.76,147,2.79
Lesotho,60,1.918,104,2.144
Liberia,86,2.077,63,1.933
Libya,67,1.953,157,3.283
Lithuania,33,1.71,36,1.749
Macedonia,76,2.014,88,2.06
Madagascar,77,2.016,57,1.86
Malawi,51,1.858,44,1.814
Malaysia,23,1.618,25,1.616
Mali,118,2.266,144,2.685
Mauritania,126,2.348,127,2.353
Mauritius,21,1.608,20,1.53
Mexico,110,2.212,141,2.64
Moldova,73,2.001,63,1.933
Mongolia,82,2.048,42,1.807
Montenegro,94,2.122,59,1.892
Morocco,71,1.996,77,2.017
Mozambique,46,1.823,85,2.051
Myanmar,133,2.413,123,2.328
Namibia,79,2.019,42,1.807
Nepal,97,2.138,88,2.06
Netherlands,25,1.635,19,1.528
New Zealand,2,1.251,2,1.188
Nicaragua,55,1.88,66,1.935
Niger,99,2.162,132,2.444
Nigeria,143,2.61,148,2.883
North Korea,152,2.996,150,2.95
Norway,9,1.407,16,1.515
Oman,26,1.65,71,1.974
Pakistan,158,3.188,151,3.094
Palestine,-,-,140,2.619
Panama,61,1.919,49,1.824
Papua New Guinea,89,2.089,96,2.1
Paraguay,75,2.005,76,2.001
Peru,99,2.162,73,1.982
Philippines,137,2.465,138,2.523
Poland,34,1.714,32,1.728
Portugal,14,1.472,5,1.315
Qatar,15,1.483,41,1.785
Romania,30,1.701,24,1.592
Russia,156,3.125,153,3.163
Rwanda,93,2.12,103,2.139
Saudi Arabia,125,2.347,128,2.382
Senegal,99,2.162,54,1.85
Serbia,90,2.11,55,1.854
Sierra Leone,49,1.847,34,1.737
Singapore,16,1.486,9,1.382
Slovakia,20,1.548,23,1.564
Slovenia,6,1.387,10,1.39
Somalia,160,3.485,159,3.35
South Africa,123,2.331,125,2.335
South Korea,45,1.822,46,1.817
South Sudan,-,-,161,3.525
Spain,44,1.807,29,1.676
Sri Lanka,149,2.793,70,1.964
Sudan,159,3.202,154,3.171
Sweden,7,1.39,15,1.507
Switzerland,12,1.452,13,1.403
Syria,115,2.232,163,3.599
Taiwan,35,1.731,34,1.737
Tajikistan,113,2.226,117,2.279
Tanzania,38,1.761,52,1.84
Thailand,138,2.482,114,2.266
The Gambia,69,1.974,74,1.987
Timor-Leste,58,1.909,60,1.898
Togo,74,2.004,99,2.103
Trinidad and Tobago,88,2.085,86,2.053
Tunisia,40,1.789,75,2
Turkey,139,2.486,149,2.909
Turkmenistan,116,2.241,119,2.283
Uganda,128,2.361,107,2.176
Ukraine,114,2.228,152,3.147
United Arab Emirates,28,1.669,45,1.816
United Kingdom,53,1.871,50,1.831
United States of America,122,2.32,124,2.332
Uruguay,31,1.703,37,1.754
Uzbekistan,119,2.267,104,
Venezuela,135,2.435,142,2.643
Vietnam,57,1.905,62,1.911
Yemen,145,2.686,158,3.308
Zambia,48,1.839,48,1.821
Zimbabwe,146,2.752,126,2.34