Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,
Afghanistan,"2,930","1,683","1,453",959,902,651,441,576,349,515,428,481,661,753,910,"2,737","1,311",805,,,,,,,,3.576
Algeria,31,-,4,D,D,D,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,2.188
Angola,34,16,21,20,21,13,4,-,8,-,-,-,-,-,-,-,-,-,,,,,,,,2.031
Armenia,27,30,63,88,86,87,29,9,4,D,15,8,3,10,49,55,57,58,,,,,,,,2.302
Azerbaijan,449,114,406,407,299,77,78,30,38,18,16,10,3,15,18,32,20,D,,,,,,,,2.447
Belarus,971,680,702,659,445,350,219,111,146,103,66,83,10,46,98,185,73,181,,,,,,,,2.112
Bhutan,-,-,-,-,-,3,-,"5,320","13,452","12,363","14,999","15,070","9,134","8,434","5,775","5,817","3,550","2,228",,,,,,,,1.521
Bosnia-Herzegovina,"14,593","3,481",506,244,61,16,D,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,2.063
Burundi,109,62,16,276,214,466,"4,545","2,889",762,530,110,186,193,68,"1,186",694,291,201,,,,,,,,2.502
Cambodia,23,4,7,3,9,9,15,8,15,9,5,6,30,44,-,18,3,-,,,,,,,,2.101
Cameroon,5,6,6,D,6,29,5,D,4,6,-,7,-,5,8,14,21,15,,,,,,,,2.473
Central African Republic,D,-,D,24,-,23,15,56,59,45,182,136,318,25,270,401,275,148,,,,,,,,3.276
Chad,D,D,D,4,-,4,10,23,6,28,25,12,32,21,16,D,7,D,,,,,,,,2.496
China,12,9,9,3,13,21,27,50,54,72,28,45,86,53,30,57,24,6,,,,,,,,2.247
Colombia,-,8,149,577,323,115,54,94,57,123,46,126,230,252,521,529,233,128,,,,,,,,2.729
Congo (Democratic Republic),260,107,251,569,424,405,848,727,"1,135","3,174",977,"1,863","2,563","4,540","7,876","16,370","9,377","7,878",,,,,,,,3.249
Congo (Republic),6,5,41,73,43,66,206,197,293,154,27,102,161,30,52,16,5,5,,,,,,,,2.326
Cote d'Ivoire,D,3,4,-,5,23,11,30,9,4,7,33,20,42,28,79,51,14,,,,,,,,2.213
Croatia,"1,020",109,144,92,39,D,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,1.639
Cuba,"2,944","1,919",306,"2,980","6,360","3,143","2,922","4,177","4,800","4,818","2,920","1,948","4,205","4,062","1,527",354,177,-,,,,,,,,2.046
Djibouti,12,D,D,6,-,-,-,-,3,-,-,-,-,-,-,-,-,-,,,,,,,,2.265
Egypt,8,-,-,3,-,D,3,5,7,15,6,13,3,21,13,21,9,D,,,,,,,,2.657
El Salvador,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,364,"1,124",725,,,,,,,,2.272
Equatorial Guinea,-,-,3,-,25,11,14,-,9,9,-,-,-,-,-,-,-,-,,,,,,,,1.934
Eritrea,109,13,23,128,327,538,963,251,"1,571","2,570","2,032","1,346","1,824","1,488","1,596","1,949","1,917","1,269",,,,,,,,2.529
Estonia,57,38,28,27,17,7,6,6,-,-,-,-,-,-,-,-,-,-,,,,,,,,1.732
Ethiopia,"1,429",330,"1,702","2,689","1,663","1,271","1,028",299,321,668,560,620,765,728,626,"1,131",766,376,,,,,,,,2.426
Gambia,5,-,9,3,-,6,13,6,10,10,7,D,11,D,3,-,5,-,,,,,,,,2.118
Georgia,49,14,53,33,11,4,7,20,4,4,20,7,D,13,9,16,-,D,,,,,,,,2.21
Guatemala,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,8,50,42,,,,,,,,2.106
Guinea,-,-,-,-,-,-,-,-,D,9,D,,9,9,3,5,5,10,,,,,,,,2.054
Haiti,24,5,-,17,8,-,-,-,-,18,-,-,-,4,-,-,-,-,,,,,,,,2.276
Honduras,-,-,-,-,-,-,-,-,-,20,5,-,-,-,-,84,104,59,,,,,,,,1.854
Indonesia,5,18,17,5,6,10,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,2.419
Iran,"6,590","1,535","2,471","1,786","1,856","2,792","5,481","5,270","5,381","3,543","2,032","1,758","2,578","2,846","3,109","3,750","2,577",41,,,,,,,,3.436
Iraq,"2,473",466,298,66,198,202,"1,608","13,822","18,838","18,016","9,388","12,163","19,488","19,769","12,676","9,880","6,886",140,,,,,,,,2.101
Jordan,-,-,-,-,-,-,-,-,-,7,D,3,13,7,D,6,5,D,,,,,,,,1.963
Kazakhstan,291,222,118,312,80,124,45,62,52,46,53,7,11,24,58,91,39,47,,,,,,,,2.3
Kenya,13,24,3,-,D,5,-,-,D,-,D,23,5,21,3,6,6,3,,,,,,,,1.831
"Korea, North",-,-,-,-,-,9,22,37,25,8,23,22,17,8,15,14,12,5,,,,,,,,2.178
Kuwait,-,6,-,14,-,-,24,D,7,40,5,3,12,12,4,D,6,D,,,,,,,,
Kyrgyzstan,116,69,46,100,38,15,17,25,46,27,30,49,19,8,17,40,25,12,,,,,,,,
Laos,22,18,13,"6,005","8,517",830,117,59,14,36,211,21,-,-,-,7,-,-,,,,,,,,1.818
Latvia,125,57,49,52,25,21,17,6,-,-,-,-,-,-,-,-,-,-,,,,,,,,1.679
Liberia,"3,429",560,"2,957","7,140","4,289","2,346","1,606",992,385,244,121,69,94,31,12,16,8,6,,,,,,,,1.933
Lithuania,40,D,21,13,9,-,4,-,-,4,-,-,-,-,-,-,-,-,,,,,,,,1.749
Macedonia,D,4,13,-,-,D,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,2.06
Mauritania,202,6,-,-,3,88,62,26,16,74,3,-,-,4,-,-,-,-,,,,,,,,2.353
Moldova,"1,168","1,022",616,"1,711","1,016",721,565,487,445,356,331,255,119,142,333,465,301,207,,,,,,,,1.933
Myanmar,543,128,203,"1,056","1,447","1,612","13,896","18,139","18,202","16,693","16,972","14,160","16,299","14,598","18,386","12,347","5,078","3,555",,,,,,,,2.328
Nepal,-,-,-,-,-,-,-,-,7,-,10,47,34,47,26,33,39,12,,,,,,,,2.06
Nigeria,85,28,57,34,11,15,20,76,3,,,,,,,,,,,,,,,,,2.883
Pakistan,3,-,18,11,9,20,30,104,67,59,54,274,158,240,159,545,346,441,,,,,,,,3.094
Russia,"4,454","2,105","1,394","1,446","5,982","6,003","1,773",426,495,326,165,197,125,139,281,462,377,437,,,,,,,,3.163
Rwanda,94,47,47,176,183,112,202,108,111,230,74,157,139,45,173,140,104,110,,,,,,,,2.139
Senegal,-,-,-,-,-,-,-,-,-,D,D,5,D,-,4,16,22,14,,,,,,,,1.85
Serbia and Montenegro,X,X,X,151,40,11,X,X,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Sierra Leone,"2,004",176,"1,378","1,084",829,439,166,99,51,54,28,D,4,6,6,3,5,-,,,,,,,,1.737
Somalia,"4,951",237,"1,994","13,331","10,405","10,357","6,969","2,523","4,189","4,884","3,161","4,911","7,608","9,000","8,858","9,020","6,130",257,,,,,,,,3.35
South Sudan,-,-,-,-,-,-,-,-,X,X,-,D,17,57,79,189,176,13,,,,,,,,3.525
"Soviet Union, former",133,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,
Sri Lanka,D,5,7,D,-,6,D,D,33,118,69,55,92,57,89,91,12,56,,,,,,,,1.964
Sudan,"5,959",897,"2,139","3,500","2,205","1,848",705,375,683,558,334,"1,077","2,160","1,315","1,578","1,458",980,76,,,,,,,,3.171
Syria,8,4,3,-,7,27,17,24,25,25,29,31,36,105,"1,682","12,587","6,557",62,,,,,,,,3.599
Tajikistan,9,4,13,D,6,4,-,D,-,3,-,-,D,-,-,17,-,-,,,,,,,,2.279
Tibet,-,-,-,-,-,-,-,-,-,-,-,9,15,-,-,D,D,-,,,,,,,,
Togo,280,16,47,35,72,18,40,204,14,9,5,26,18,26,D,19,D,-,,,,,,,,2.103
Tunisia,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,2
Uganda,12,D,D,8,10,20,38,42,8,30,10,18,15,5,67,65,58,42,,,,,,,,2.176
Ukraine,"7,172","5,217","5,065","3,482","2,889","2,483","1,605","1,022",601,449,428,372,227,490,"1,451","2,543","4,264","2,635",,,,,,,,3.147
Uzbekistan,681,394,166,426,271,527,190,134,152,185,96,140,51,69,43,41,35,27,,,,,,,,NaN
Vietnam,"2,730","2,988","1,354",979,"2,009","3,039","1,500","1,112","1,486",873,79,41,69,67,22,52,21,10,,,,,,,,1.911
Yemen,-,-,D,8,D,11,6,-,47,15,-,-,12,D,16,26,21,D,,,,,,,,3.308
"Yugoslavia, former",153,"1,860","1,839",X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,
Zimbabwe,6,-,-,D,D,13,D,3,10,7,8,3,12,D,7,11,D,13,,,,,,,,
All other countries,49,31,29,18,20,23,25,31,28,36,37,29,32,28,50,57,60,27,,,,,,,,
Unknown1,-,-,-,-,-,-,-,9,65,"1,053",136,148,164,141,99,50,81,-,,,,,,,,